,0
0,2256.7532
1,2268.322
2,2267.8572
3,2275.0842
4,2271.0486
5,2271.1404
6,2271.56
7,2267.8506
8,2274.5427
9,2268.1033
10,2269.7087
11,2266.7893
12,2271.3545
13,2265.875
14,2277.0686
15,2294.7327
16,2296.537
17,2294.8289
18,2280.2185
19,2275.7542
20,2281.3083
21,2279.035
22,2293.7903
23,2292.0862
24,2293.7117
25,2291.7285
26,2304.059
27,2313.884
28,2325.0674
29,2331.1033
30,2342.8748
31,2344.4578
32,2345.2139
33,2359.215
34,2359.0562
35,2360.6565
36,2359.9302
37,2364.6948
38,2360.8826
39,2388.272
40,2382.8584
41,2377.5537
42,2371.1936
43,2366.5164
44,2363.0286
45,2360.7334
46,2368.472
47,2368.795
48,2361.9792
49,2377.9365
50,2379.2927
51,2376.9624
52,2371.357
53,2356.6824
54,2343.8877
55,2346.3687
56,2344.325
57,2335.2375
58,2351.18
59,2356.4707
60,2362.7192
61,2361.7334
62,2355.785
63,2354.673
64,2358.793
65,2354.3645
66,2354.1333
67,2355.7336
68,2348.4084
69,2344.6877
70,2334.0745
71,2341.4014
72,2340.0938
73,2340.469
74,2350.2773
75,2348.0127
76,2369.7896
77,2383.2244
78,2386.3142
79,2384.4067
80,2383.6023
81,2385.1606
82,2386.2197
83,2382.6204
84,2384.133
85,2391.9424
86,2394.2402
87,2394.0537
88,2393.2773
89,2388.1355
90,2386.3506
91,2395.4463
92,2396.9714
93,2365.2217
94,2361.7322
95,2376.6704
96,2387.7712
97,2393.3616
98,2398.23
99,2408.8162
100,2409.7288
101,2407.4258
102,2406.8152
103,2419.526
104,2430.1172
105,2430.6138
106,2425.3765
107,2426.0137
108,2428.2476
109,2427.9968
110,2421.6152
111,2431.8833
112,2432.3943
113,2423.4275
114,2424.979
115,2443.2131
116,2436.3003
117,2430.8865
118,2430.4375
119,2431.1235
120,2436.1548
121,2422.0513
122,2431.297
123,2421.5923
124,2420.7537
125,2426.1885
126,2425.104
127,2410.1787
128,2416.4678
129,2421.564
130,2418.911
131,2435.1614
132,2440.0103
133,2449.9314
134,2452.527
135,2451.007
136,2462.9417
137,2466.1028
138,2462.684
139,2462.6392
140,2469.8547
141,2470.5156
142,2468.4094
143,2462.976
144,2465.097
145,2468.0562
146,2468.783
147,2465.2544
148,2468.8096
149,2471.2263
150,2471.3633
151,2463.1067
152,2443.2512
153,2436.1262
154,2455.7947
155,2458.2407
156,2461.74
157,2438.581
158,2423.5386
159,2420.8447
160,2440.8293
161,2438.413
162,2436.5427
163,2439.6985
164,2438.4897
165,2435.7324
166,2447.4846
167,2462.1638
168,2468.7878
169,2454.5781
170,2457.8547
171,2458.0625
172,2455.3806
173,2475.8398
174,2485.8955
175,2487.5967
176,2486.559
177,2489.2327
178,2494.9392
179,2496.7773
180,2496.7654
181,2493.8047
182,2491.675
183,2488.3079
184,2489.9458
185,2496.6665
186,2498.5625
187,2506.2346
188,2516.109
189,2522.3367
190,2525.7336
191,2534.8044
192,2534.23
193,2533.4966
194,2536.422
195,2538.28
196,2537.1953
197,2539.1501
198,2541.0579
199,2542.0378
200,2544.801
201,2542.4436
202,2553.2688
203,2551.397
204,2550.4492
205,2542.9346
206,2544.9966
207,2557.0337
208,2554.6907
209,2555.2869
210,2560.0356
211,2557.0999
212,2562.7825
213,2566.5183
214,2567.5564
215,2568.097
216,2560.3667
217,2559.6199
218,2560.8894
219,2556.3167
220,2548.3755
221,2561.2249
222,2559.0593
223,2559.9958
224,2571.4434
225,2572.4912
226,2575.5298
227,2575.803
228,2590.0237
229,2595.165
230,2609.479
231,2604.113
232,2611.5479
233,2601.5781
234,2596.363
235,2600.7644
236,2611.4387
237,2617.5408
238,2622.904
239,2623.928
240,2618.348
241,2628.7756
242,2642.1604
243,2639.473
244,2637.0325
245,2639.2314
246,2636.7236
247,2634.7034
248,2636.4546
249,2639.2336
